x_m;y_m
9.7500;11.1000
9.7500;11.1000
9.7785;11.1095
9.8350;11.1296
9.9219;11.1528
10.0333;11.1976
10.1796;11.2304
10.3438;11.3043
10.5504;11.3420
10.7651;11.4492
11.0180;11.4848
11.2542;11.6091
11.5022;11.6401
11.7379;11.7573
11.9791;11.7830
12.2139;11.8918
12.4513;11.9118
12.6538;11.9988
12.8541;12.0206
13.0273;12.0899
13.1958;12.1117
13.3435;12.1669
13.4848;12.1875
13.6103;12.2316
13.7286;12.2505
13.8351;12.2857
13.9340;12.3025
14.0242;12.3308
14.1069;12.3455
14.1841;12.3685
14.2551;12.3814
14.3221;12.4006
14.3831;12.4119
14.4412;12.4279
14.4937;12.4378
14.5443;12.4511
14.5896;12.4598
14.6342;12.4711
14.6735;12.4786
14.7129;12.4884
14.7473;12.4949
14.7822;12.5032
14.8121;12.5088
14.8430;12.5159
14.8692;12.5208
14.8964;12.5269
14.9194;12.5312
14.9435;12.5364
14.9636;12.5401
14.9850;12.5446
15.0027;12.5478
15.0217;12.5517
15.0371;12.5545
15.0541;12.5579
15.0675;12.5602
15.0826;12.5632
15.0944;12.5652
15.1078;12.5678
15.1180;12.5695
15.1300;12.5718
15.1389;12.5733
15.1495;12.5752
15.1573;12.5765
15.1668;12.5782
15.1735;12.5793
15.1819;12.5808
15.1878;12.5817
15.1953;12.5830
15.2003;12.5838
15.2071;12.5849
15.2114;12.5856
15.2175;12.5866
15.2212;12.5872
15.2266;12.5880
15.2298;12.5885
15.2346;12.5893
15.2373;12.5897
15.2417;12.5904
15.2439;12.5907
15.2478;12.5913
15.2497;12.5916
15.2532;12.5921
15.2568;12.5926
15.2596;12.5930
15.2608;12.5932
15.2636;12.5936
15.2703;12.5945
15.2729;12.5949
15.2733;12.5950
15.2754;12.5953
15.2840;12.5965
15.2908;12.5976
15.2963;12.5983
15.2963;12.5983
15.2963;12.5983
15.3040;12.5995
15.3097;12.6003
15.3145;12.6010
15.3170;12.6014
15.3170;12.6014
15.3170;12.6014
15.3231;12.6023
15.3276;12.6029
15.3315;12.6035
15.3346;12.6039
15.3346;12.6039
15.3346;12.6039
15.3393;12.6046
15.3428;12.6051
15.3460;12.6056
15.3489;12.6060
15.3510;12.6063
15.3529;12.6066
15.3547;12.6068
15.3569;12.6071
15.3591;12.6074
15.3612;12.6078
15.3632;12.6080
15.3651;12.6083
15.3670;12.6086
15.3688;12.6088
15.3705;12.6091
15.3721;12.6093
15.3736;12.6095
15.3750;12.6097
15.3764;12.6099
15.3776;12.6101
15.3788;12.6102
15.3799;12.6104
15.3809;12.6105
15.3818;12.6107
15.3827;12.6108
15.3836;12.6109
15.3843;12.6110
15.3851;12.6111
15.3857;12.6112
15.3864;12.6113
15.3870;12.6114
15.3875;12.6115
15.3881;12.6116
15.3885;12.6116
15.3890;12.6117
15.3894;12.6117
15.3898;12.6118
15.3902;12.6119
15.3905;12.6119
15.3908;12.6120
15.3911;12.6120
15.3914;12.6120
15.3917;12.6121
15.3919;12.6121
15.3922;12.6121
15.3924;12.6122
15.3926;12.6122
15.3927;12.6122
15.3929;12.6122
15.3931;12.6123
15.3932;12.6123
15.3934;12.6123
15.3935;12.6123
15.3936;12.6123
15.3937;12.6124
15.3938;12.6124
15.3939;12.6124
15.3940;12.6124
15.3941;12.6124
15.3942;12.6124
15.3943;12.6124
15.3944;12.6124
15.3944;12.6125
15.3945;12.6125
15.3945;12.6125
15.3946;12.6125
15.3946;12.6125
15.3947;12.6125
15.3947;12.6125
15.3948;12.6125
15.3948;12.6125
15.3948;12.6125
15.3949;12.6125
15.3949;12.6125
15.3949;12.6125
15.3950;12.6125
15.3950;12.6125
15.3950;12.6125
15.3950;12.6125
15.3950;12.6125
15.3951;12.6125
15.3951;12.6125
15.3951;12.6126
15.3951;12.6126
15.3951;12.6126
15.3951;12.6126
