x_m;y_m
9.7500;11.1000
9.7500;11.1000
9.7690;11.1063
9.8053;11.1174
9.8579;11.1304
9.9257;11.1421
10.0052;11.1617
10.0945;11.1903
10.1915;11.2287
10.2933;11.2799
10.3930;11.3511
10.4851;11.4432
10.5976;11.5218
10.7284;11.5809
10.8736;11.6150
11.0277;11.6196
11.1840;11.5914
11.3346;11.5290
11.4709;11.4332
11.5847;11.3069
11.6682;11.1554
11.7152;10.9861
11.7211;10.8081
11.6841;10.6316
11.6048;10.4675
11.4868;10.3263
11.3364;10.2175
11.1624;10.1488
10.9755;10.1255
10.7875;10.1502
10.6110;10.2220
10.4578;10.3370
10.3385;10.4879
10.2616;10.6650
10.2329;10.8567
10.2548;11.0499
10.3262;11.2314
10.4427;11.3884
10.5964;11.5099
10.7769;11.5871
10.9717;11.6145
11.1672;11.5898
11.3496;11.5144
11.5059;11.3936
11.6251;11.2356
11.6984;11.0516
11.7205;10.8546
11.6898;10.6586
11.6083;10.4775
11.4816;10.3244
11.3188;10.2102
11.1314;10.1433
10.9329;10.1284
10.7374;10.1668
10.5591;10.2557
10.4108;10.3889
10.3031;10.5567
10.2439;10.7471
10.2375;10.9465
10.2843;11.1405
10.3811;11.3151
10.5208;11.4577
10.6935;11.5579
10.8867;11.6086
11.0864;11.6060
11.2786;11.5513
11.4492;11.4474
11.5860;11.3018
11.6791;11.1249
11.7218;10.9297
11.7108;10.7301
11.6472;10.5407
11.5353;10.3750
11.3833;10.2452
11.2022;10.1605
11.0051;10.1271
10.8062;10.1475
10.6200;10.2201
10.4598;10.3397
10.3373;10.4978
10.2613;10.6827
10.2374;10.8812
10.2672;11.0790
10.3487;11.2616
10.4759;11.4159
10.6397;11.5307
10.8281;11.5977
11.0275;11.6120
11.2236;11.5727
11.4021;11.4826
11.5501;11.3481
11.6569;11.1790
11.7148;10.9876
11.7195;10.7876
11.6708;10.5937
11.5721;10.4197
11.4307;10.2783
11.2566;10.1798
11.0626;10.1312
10.8627;10.1361
10.6713;10.1942
10.5023;10.3011
10.3679;10.4492
10.2779;10.6278
10.2387;10.8239
10.2533;11.0234
10.3205;11.2118
10.4355;11.3754
