#x_m;y_m
9.7500;11.1000
10.2000;11.2500
10.7000;11.4000
11.1500;11.5500
11.4000;11.9500
11.8500;12.2000
12.2000;12.5500
12.6500;12.7500
13.1500;12.9000
13.6500;12.8000
14.0500;12.4500
14.5000;12.6000
15.0000;12.7000
15.4500;12.9500
15.9500;12.8500
16.4000;12.6500
16.8500;12.8000
17.3500;12.9000
17.4500;13.4000
17.9000;13.5500
18.1500;14.0000
18.6500;13.9500
19.1000;14.1500
19.6000;14.1500
19.7500;14.6000
20.2500;14.7500
20.7500;14.7000
21.2000;14.4500
21.6000;14.7500
22.1000;14.8500
22.6000;14.9500
23.1000;15.0500
23.4500;15.4000
23.9500;15.2500
24.4500;15.3000
24.6500;15.7500
25.1500;15.8000
25.6000;16.0000
26.0500;16.1500
26.1000;16.6500
26.5000;16.9500
27.0000;17.1000
27.4000;16.8000
27.8500;16.6000
28.2500;16.9000
28.7500;17.0000
29.2000;16.8000
29.6500;16.9500
30.1500;17.0000
30.6000;16.8000
30.9500;17.1500
31.3000;16.8000
31.8000;16.8000
32.3000;16.8500
32.8000;16.9000
33.3000;16.9500
33.8000;17.0500
34.2000;17.3500
34.7000;17.2000
35.2000;17.2500
35.6500;17.4500
35.8500;17.9000
36.3500;17.7500
36.8000;18.0000
37.3000;17.9000
37.7500;18.1500
38.2000;18.4000
38.6500;18.6500
39.1000;18.8500
39.5500;19.1000
40.0000;19.3000
40.4000;19.0000
40.8000;19.3000
41.1500;19.6500
41.0000;20.1500
41.3500;20.5000
41.8000;20.6500
41.8000;21.1500
41.8500;21.6500
42.3000;21.8000
42.6500;22.2000
43.1000;22.4000
43.6000;22.5500
43.7500;23.0500
44.1000;23.4000
44.0000;23.9000
44.1500;24.4000
44.6500;24.4000
45.1000;24.6000
45.6000;24.6000
46.1000;24.6000
46.4500;24.2500
46.9500;24.2500
47.4500;24.2500
47.9500;24.3000
48.4500;24.3000
48.9500;24.3500
49.4500;24.3500
50.1000;24.4000
